巢	5525|chao2
朝	1223|chao2,zhao1
嘲	1412|chao2,zhao1
潮	_312|chao2
吵	1423|chao3,chao1
炒	4323|chao3
耖	1123|chao4
车	15_2|che1,ju1
砗	1315|che1
扯	4221|che3
彻	3315|che4
坼	_433|che4
掣	3142|che4
撤	4241|che4
澈	_341|che4
㬚	2241|che4
抻	4225|chen1
郴	_252|chen1
𬘭	55_2|lin2,chen1
琛	1145|chen1
嗔	1412|chen1
瞋	2512|chen1
臣	1525|chen2
尘	23_4|chen2
辰	1311|chen2
沉	_345|chen2
忱	4445|chen2
陈	5215|chen2
宸	4413|chen2
晨	2213|chen2
谌	4512|shen4,chen2
煁	4312|chen2
碜	1354|chen3
衬	4512|chen4
疢	4143|chen4
龀	2135|chen4
趁	_424|chen4
榇	_241|chen4
谶	4524|chen4
柽	_254|cheng1
琤	1135|cheng1
称	3135|cheng1,chen4,cheng4
蛏	2554|cheng1
偁	2434|cheng1
赪	_421|cheng1
撑	4224|cheng1
瞠	2524|cheng1
成	13_4|cheng2
丞	52_1|cheng2
呈	1411|cheng2
枨	_231|cheng2
诚	4513|cheng2
承	52_4|cheng2
城	_413|cheng2
宬	4413|cheng2
珹	1113|cheng2
埕	_414|cheng2
晟	2213|sheng4,cheng2
乘	3121|cheng2,sheng4
珵	1114|cheng2
铖	_113|cheng2
程	3114|cheng2
惩	3345|cheng2
裎	4514|cheng2,cheng3
塍	2343|cheng2
酲	1214|cheng2
澂	_325|cheng2
澄	_354|cheng2,deng4
憕	4454|cheng2
橙	_254|cheng2
逞	1445|cheng3
骋	5525|cheng3
庱	41_4|cheng3
秤	3114|cheng4
牚	2415|cheng4,cheng1
吃	1431|chi1
哧	14_4|chi1
鸱	3535|chi1
蚩	5225|chi1
𫄨	5534|chi1
眵	2535|chi1
笞	3154|chi1
瓻	3415|chi1
摛	4241|chi1
嗤	1452|chi1
痴	4131|chi1
媸	5352|chi1
螭	2541|chi1
魑	3241|chi1
池	_352|chi2
弛	5152|chi2
驰	5552|chi2
迟	5145|chi2
茌	_524|chi2
持	42_4|chi2
漦	1113|si1,chi2
墀	_451|chi2
踟	1431|chi2
篪	3133|chi2
尺	51_4|chi3,che3
齿	2124|chi3
侈	2435|chi3
胣	2331|chi3
耻	1221|chi3
豉	_112|chi3
褫	4533|chi3
彳	33_2|chi4
叱	1435|chi4
斥	33_4|chi4
赤	_432|chi4
饬	3531|chi4
炽	4314|chi4
翅	1254|chi4
敕	1231|chi4
痓	4115|chi4
啻	4114|chi4
傺	2435|chi4
瘛	4111|chi4
冲	4125|chong1,chong4
充	4135|chong1
忡	4425|chong1
茺	_541|chong1
㳘	_341|chong1
珫	1141|chong1
翀	5425|chong1
舂	1132|chong1
摏	4211|chong1
憧	4441|chong1
艟	3341|chong1
虫	25_4|chong2
崇	2544|chong2
漴	_325|chong2,shuang1
宠	4413|chong3
铳	_141|chong4
抽	4225|chou1
瘳	4154|chou1
犨	2431|chou1
仇	2435|chou2,qiu2
俦	2411|chou2
帱	2511|chou2,dao4
惆	4435|chou2
绸	5535|chou2
椆	_235|chou2
畴	2511|chou2
酬	1243|chou2
稠	3135|chou2
愁	3145|chou2
筹	3111|chou2
踌	1411|chou2
雠	2445|chou2
丑	52_1|chou3
杻	_252|chou3,niu3
侴	2452|chou3
瞅	2531|chou3
臭	3213|chou4,xiu4
出	52_2|chu1
初	4553|chu1
䢺	5252|chu1
䝙	3415|chu1
摴	4214|chu1
樗	_214|chu1
刍	3551|chu2
除	5224|chu2
厨	13_1|chu2
锄	_125|chu2
滁	_352|chu2
蜍	2524|chu2
雏	3524|chu2
橱	_213|chu2
躇	14_5|chu2
蹰	1413|chu2
杵	_231|chu3
础	1352|chu3
楮	_212|chu3
储	2445|chu3
楚	_252|chu3
褚	4512|zhu3,chu3
濋	_3_2|chu3
𬺓	21_2|chu3
亍	11_2|chu4
处	3524|chu4,chu3
怵	44_2|chu4
绌	5552|chu4
俶	2421|chu4,ti4
畜	4125|chu4,xu4
琡	1121|chu4
搐	4241|chu4
触	3525|chu4
憷	44_2|chu4
黜	2552|chu4
斶	3325|chu4
矗	1212|chu4
欻	4335|chua1,xu1
揣	4225|chuai1,chuai3,chuai4
搋	4233|chuai1
啜	1454|chuo4,chuai4
踹	1425|chuai4
川	32_2|chuan1
氚	3132|chuan1
穿	4415|chuan1
传	2411|chuan2,zhuan4
船	3335|chuan2
遄	2545|chuan2
圌	2525|chui2,chuan2
椽	_255|chuan2
舛	3515|chuan3
喘	1425|chuan3
串	25_2|chuan4
钏	_132|chuan4
疮	4124|chuang1
窗	4432|chuang1
床	41_2|chuang2
噇	1441|chuang2
幢	2541|zhuang4,chuang2
闯	4255|chuang3
创	2422|chuang4,chuang1
怆	4424|chuang4
吹	1435|chui1
炊	4335|chui1
垂	31_1|chui2
倕	2431|chui2
陲	5231|chui2
捶	4231|chui2
棰	_231|chui2
槌	_232|chui2
锤	_131|chui2
春	1122|chun1
堾	_411|chun1
瑃	1111|chun1
椿	_211|chun1
蝽	2511|chun1
䲠	3511|chun1
纯	5515|chun2
莼	_555|chun2
唇	1314|chun2
淳	_341|chun2
𬭚	_141|chun2,dui4
鹑	4135|chun2
醇	1241|chun2
蠢	1125|chun3
逴	2145|chuo1
踔	1421|chuo1
戳	5415|chuo1
惙	4454|chuo4
绰	5521|chuo4,chao1
辍	1554|chuo4
龊	2114|chuo4
呲	1421|zi1,ci1
疵	4121|ci1
跐	1421|ci3,ci1
词	4551|ci2
茈	_521|zi3,ci2
茨	_541|ci2
祠	4551|ci2
瓷	4115|ci2
堲	51_4|ji2
辞	3141|ci2
慈	4345|ci2
磁	1343|ci2
雌	2124|ci2
鹚	4335|ci2
糍	4343|ci2
此	2135|ci3
泚	_321|ci3
玼	1121|ci3,ci1
𫚖	2135|ci3
次	4135|ci4
伺	2451|si4,ci4
刺	1222|ci4,ci1
佽	2441|ci4
莿	_512|ci4
赐	2522|ci4
匆	35_4|cong1
苁	_524|cong1
囱	3235|cong1
枞	_224|cong1,zong1
葱	_535|cong1
骢	5532|cong1
璁	1132|cong1
聪	1243|cong1
熜	4332|cong1
从	2424|cong2
丛	24_1|cong2
淙	_344|cong2
悰	4444|cong2
琮	1144|cong2
凑	4111|cou4
辏	1511|cou4
腠	2311|cou4
粗	4325|cu1
徂	3325|cu2
殂	1325|cu2
促	2414|cu4
猝	3541|cu4
蔟	_541|cu4
醋	1212|cu4
簇	3141|cu4
蹙	1314|cu4
蹴	1441|cu4,jiu4
汆	34_3|cuan1
撺	4244|cuan1
镩	_144|cuan1
蹿	1444|cuan1
窜	4425|cuan4
篡	3125|cuan4
爨	32_2|cuan4
崔	2524|cui1
催	2425|cui1
缞	5541|cui1
摧	4225|cui1
榱	_241|cui1
漼	_325|cui3
璀	1125|cui3
脆	2335|cui4
萃	_541|cui4
啐	1441|cui4
淬	_341|cui4
悴	4441|cui4
毳	3131|cui4
瘁	4141|cui4
粹	4341|cui4
翠	5441|cui4
邨	1552|cun1
村	_212|cun1
皴	5453|cun1
存	1352|cun2
忖	4412|cun3
寸	12_4|cun4
搓	4243|cuo1
瑳	1143|cuo1
磋	1343|cuo1
撮	4222|cuo1,zuo3
蹉	1443|cuo1
嵯	2543|cuo2
矬	3124|cuo2
痤	4124|cuo2
鹾	2143|cuo2
脞	2324|cuo3
挫	4224|cuo4
莝	_524|cuo4
厝	1312|cuo4
措	4212|cuo4
棤	_212|cuo4
锉	_124|cuo4
错	_112|cuo4
耷	1312|da1
哒	1413|da1
搭	42_5|da1
嗒	14_5|da1,ta4
𨱏	_1_4|da1
褡	45_5|da1
达	1345|da2
沓	_322|ta4,da2
怛	4422|da2
妲	5322|da2
荙	_513|da2
炟	4322|da2
𫟼	_113|da2
笪	3122|da2
答	3124|da2,da1
溚	_3_5|ta3
跶	1413|da5
靼	1222|da2
鞑	1213|da2
打	4212|da3,da2
大	13_4|da4,dai4
垯	_413|da5
瘩	41_5|da2,da5
呆	14_2|dai1
呔	1413|dai1,tai3
歹	13_4|dai3
逮	5145|dai3,dai4
傣	2411|dai3
代	2415|dai4
轪	1513|dai4
垈	24_4|dai4
岱	2425|dai4
迨	5445|dai4
骀	5554|tai2,dai4
绐	5554|dai4
玳	1124|dai4
带	1225|dai4
殆	1354|dai4
贷	2425|dai4
待	33_4|dai4,dai1
怠	5445|dai4
埭	_451|dai4
袋	2441|dai4
叇	1151|dai4
戴	1225|dai4
黛	2425|dai4
丹	35_1|dan1
担	4222|dan1,dan4,dan3
单	4325|dan1,chan2,shan4
眈	2545|dan1
耽	1245|dan1
郸	4352|dan1
聃	1225|dan1
殚	1343|dan1
瘅	4143|dan1,dan4
箪	3143|dan1
儋	2435|dan1
𬘘	5545|dan3
胆	2322|dan3
疸	4122|dan3,da5
掸	4243|dan3,shan4
赕	2543|dan3
亶	4122|dan3,dan4
旦	22_1|dan4
但	2422|dan4
诞	4532|dan4
𫢸	3443|dan4
疍	5222|dan4
萏	_535|dan4
啖	1443|dan4
淡	_343|dan4
惮	4443|dan4
弹	5143|dan4,tan2
蛋	5225|dan4
氮	3143|dan4
澹	_335|dan4,tan2
憺	4435|dan4
当	2451|dang1,dang4
珰	1124|dang1
铛	_124|dang1,cheng1
裆	4524|dang1
筜	3124|dang1
挡	4224|dang3,dang4
党	2435|dang3
谠	4524|dang3
𣗋	_224|dang3
凼	_352|dang4
砀	1353|dang4
宕	4413|dang4,tan4
垱	_424|dang4
荡	_5_3|dang4
档	_224|dang4
菪	_544|dang4
𬍡	_311|dang4,tang1
刀	5353|dao1
叨	1453|dao1,tao1,dao2
忉	4453|dao1
氘	3132|dao1
舠	3353|dao1
鱽	3553|dao1
捯	4215|dao2
导	5112|dao3
岛	3525|dao3
捣	4235|dao3
祷	4511|dao3
蹈	1434|dao3
到	1522|dao4
倒	2415|dao3,dao4
盗	4125|dao4
悼	4421|dao4
道	4345|dao4
稻	3134|dao4
纛	1125|dao4
嘚	1433|de1,de4,dei1
得	3322|de2,dei3,de5
锝	_122|de2
德	3312|de2
地	_452|di4,de5
的	3235|de5,di1,di2,di4
扽	4215|den4
灯	4312|deng1
登	54_1|deng1
噔	1454|deng1
璒	1154|deng1
蹬	1454|deng1,deng4
等	31_4|deng3
戥	2215|deng3
邓	5452|deng4
凳	5435|deng4
嶝	2554|deng4
磴	1354|deng4
瞪	2554|deng4
镫	_154|deng4,deng1
氐	35_4|di1,di3
低	2435|di1
羝	4335|di1
堤	_422|di1
䃅	1343|di1
滴	_341|di1
镝	_141|di1,di2
鞮	1222|di1
狄	3543|di2
迪	2545|di2
籴	3443|di2
荻	_535|di2
敌	3131|di2
涤	_335|di2
𬱖	2513|di2
笛	3125|di2
觌	1225|di2
髢	1252|di2
嘀	1441|di2,di1
嫡	5341|di2
翟	5424|zhai2,di2
蹢	1441|di2,zhi2
邸	3552|di3
诋	4535|di3
坻	_435|di3,chi2
抵	4235|di3
底	4135|di3,de5
柢	_235|di3
砥	1335|di3
骶	2535|di3
玓	1135|di4
杕	_213|di4,duo4
弟	4351|di4
帝	4125|di4
递	4345|di4
娣	5343|di4
菂	_532|di4
第	3151|di4
谛	4541|di4
蒂	_541|di4
棣	_251|di4
睇	2543|di4
媂	5341|di4
缔	5541|di4
𤧛	1141|di4
禘	4541|di4
碲	1341|di4
䗖	2512|di4
踶	1422|di4
嗲	1434|dia3
掂	4241|dian1
滇	_312|dian1
颠	1213|dian1
巅	2512|dian1
癫	4112|dian1
丶	_453|dian3
典	2534|dian3
点	2144|dian3
碘	1325|dian3
踮	1441|dian3
电	25_5|dian4
佃	2425|dian4,tian2
甸	3525|dian4
阽	5221|dian4,yan2
坫	_421|dian4
店	4121|dian4
玷	1121|dian4
垫	42_4|dian4
扂	4521|dian4
钿	_125|dian4,tian2
淀	_344|dian4
惦	4441|dian4
琔	1144|dian4
奠	4313|dian4
殿	5135|dian4
靛	1144|dian4
簟	3112|dian4
癜	4151|dian4
刁	5153|diao1
叼	1451|diao1
汈	_351|diao1
凋	4135|diao1
貂	3453|diao1
碉	1335|diao1
雕	3524|diao1
鲷	3535|diao1
屌	5114|diao3
吊	1425|diao4
钓	_135|diao4
窎	4435|diao4
调	4535|tiao2,diao4
掉	4221|diao4
铞	_114|diao4
铫	_134|diao4,yao2
爹	3435|die1
跌	1431|die1
迭	3145|die2
垤	_415|die2
昳	2231|die2,yi4
绖	5515|die2
瓞	3331|die2
䏲	2343|ti1
谍	4512|die2
堞	_412|die2
耋	1215|die2
喋	1412|die2,zha2
𫶇	2512|die2
牒	3212|die2
叠	5425|die2
碟	1312|die2
蝶	2512|die2
蹀	1412|die2
鲽	3512|die2
丁	1253|ding1,zheng1
仃	2412|ding1
叮	1412|ding1
玎	1112|ding1
盯	2512|ding1
町	2512|ding1,ting3
钉	_112|ding1,ding4
疔	4112|ding1
耵	1212|ding1
酊	1212|ding1,ding3
顶	1213|ding3
鼎	2551|ding3
订	4512|ding4
定	4412|ding4
萣	_544|ding4
啶	1444|ding4
铤	_131|ting3,ding4
腚	2344|ding4
碇	1344|ding4
锭	_144|ding4
丢	3154|diu1
铥	_131|diu1
东	15_4|dong1
冬	3544|dong1
咚	1435|dong1
岽	2515|dong1
氡	3135|dong1
鸫	1535|dong1
𬟽	2515|dong1
董	_531|dong3
懂	44_5|dong3
动	1153|dong4
冻	4115|dong4
侗	2425|dong4,tong2,tong3
垌	_425|dong4,tong2
栋	_215|dong4
峒	2525|tong2,dong4
胨	2315|dong4
洞	_325|dong4,tong2
恫	4425|dong4,tong1
胴	2325|dong4
硐	1325|dong4
都	1252|dou1,du1
兜	3235|dou1
蔸	_532|dou1
篼	3132|dou1
抖	4244|dou3
钭	_144|dou3,tou3
陡	52_4|dou3
蚪	2544|dou3
斗	4412|dou4,dou3
豆	_114|dou4
逗	_145|dou4
痘	41_1|dou4
窦	4412|dou4
厾	_5_4|du1
阇	4212|she2,du1
督	2125|du1
嘟	1412|du1
毒	1155|du2
独	3525|du2
读	4512|du2,dou4
渎	_312|du2
椟	_212|du2
犊	3112|du2
牍	3212|du2
黩	2512|du2
